name,compatible_types,data_type,value_regex,element_name
displayAsTable,ItemGroupRef,string,^(Yes|No)$,
instruction,FormDef||ItemGroupDef||ItemDef||ItemGroupRef||ItemRef,string,,
sdv,FormDef||ItemGroupDef||ItemDef,string,,
locked,ItemGroupRef||ItemRef,string,,
version,FormDef||ItemGroupDef||ItemDef||Codelist||CodelistItem||MeasurementUnit,string,,
name,CodelistItem,string,,
OID,CodelistItem,string,,
sponsorInstruction,ItemDef,string,,
mandatory,CodelistItem,string,,
DomainColor,ItemGroupDef,string,,
allowMultipleChoice,Codelist,string,,
indentLevel,ItemRef,integer,^[1-6]$,
topicCode,,string,,ActivityInstance
adamCode,,string,,ActivityInstance
optionalQuestion,ItemRef,string,^(Yes|No)$,
