ACTIVITY_INSTANCE_CLASS,ACTIVITY_ITEM_CLASS,DISPLAY_LABEL,DEFINITION,NCI_C_CODE,SPONSOR_CONCEPT_CODE,LEGACY_CDW_COLUMN,MANDATORY,IS_ADAM_PARAM_SPECIFIC_ENABLED,ADDITIONAL_OPTIONAL_ACTIVITY_ITEM,DEFAULT_LINKED_TO_INSTANCE,ORDER,DATA_COLLECTION,SEMANTIC_ROLE,SEMANTIC_DATA_TYPE,CODELIST
GeneralObservation,domain,Domain,SDTM domain,C66734,,,Yes,No,No,No,1,No,IDENTIFIER,CTTERM,DOMAIN
GeneralObservation,study_id,Study Identifier,Study identifier,C83082,,,No,No,No,Yes,2,No,IDENTIFIER,TEXT,
GeneralObservation,group_id,Group Identifier,group identifier,C82529,,,No,No,Yes,No,3,Yes,IDENTIFIER,TEXT,
GeneralObservation,link_id,Link Identifier,Link ID,C117050,,,No,No,Yes,No,4,Yes,IDENTIFIER,TEXT,
GeneralObservation,link_group,Link Group Identifier,Link Group ID,C117049,,,No,No,Yes,No,5,Yes,IDENTIFIER,TEXT,
GeneralObservation,associated_persons_id,Associated Persons Identifier,Associated persons identifier,C117707,,,No,No,Yes,No,6,Yes,IDENTIFIER,TEXT,
GeneralObservation,related_device_id,Related Device Identifier,Related device identifier,,,,No,No,Yes,No,7,Yes,IDENTIFIER,TEXT,
SubjectObservation,subject_id,Subject Identifier,"A sequence of characters used to identify, name, or characterize a trial or study subject.",C83083,,,No,No,Yes,No,1,Yes,IDENTIFIER,TEXT,
SubjectObservation,unique_subject_id,Unique Subject Identifier,A unique identifier for a subject in a study.,C69256,,,No,No,Yes,No,2,No,IDENTIFIER,TEXT,
SubjectObservation,related_subject_id,Related Subject Identifier,Related subject identifier,C117708,,,No,No,Yes,No,3,No,IDENTIFIER,TEXT,
Comments,reference_id,Reference Identifier,Reference identifier,C82531,,,No,No,Yes,No,1,Yes,IDENTIFIER,TEXT,
Comments,related_domain_abbreviation,Related Domain Abbreviation,Related domain abbreviation,C83391,,,No,No,Yes,No,2,Yes,RECOQUAL,CTTERM,DOMAIN
Comments,comment_reference,Comment Reference,Reference associated with the comment,C82504,,,No,No,Yes,No,2,Yes,RECOQUAL,TEXT,
Comments,comment,Comment,Text of the comment,C70936,,,No,No,Yes,No,3,Yes,TOPIC,TEXT,
Comments,evaluator,Evaluator,Role of the person who provided the evaluation.,C51824,,,No,No,Yes,No,4,Yes,RECOQUAL,TEXT,
Comments,evaluator_id,Evaluator Identifier,Used to distinguish multiple evaluators with the same role recorded in evaluator.,C117043,,,No,No,Yes,No,5,Yes,VARIQUAL,CTTERM,MEDEVAL
Comments,collection_datetime,Date and Time of Collection,Date/time of collection,C82515,,,No,No,No,Yes,6,Yes,TIMING,DATETIME,
Demographics,date_of_birth,Date of Birth,Date of birth of the subject,C69259,,,No,No,Yes,No,1,Yes,RECOQUAL,TEXT,
Demographics,age,Age,Age of the subject,C25150,,,No,No,Yes,No,2,Yes,RECOQUAL,FLOAT,
Demographics,age_unit,Age Unit,Unit of age of the subject,C50400,,,No,No,Yes,No,3,Yes,VARIQUAL,CTTERM,AGEU
Demographics,sex,Sex,Sex of the subject,C28421,,,No,No,Yes,No,4,Yes,RECOQUAL,CTTERM,SEX
Demographics,race,Race,Self reported race of the subject,C74457,,,No,No,Yes,No,5,Yes,RECOQUAL,CTTERM,RACE
Demographics,ethnicity,Ethnicity,Ethnicity of the subject,C128690,,,No,No,Yes,No,6,Yes,RECOQUAL,CTTERM,ETHNIC
Events,reference_id,Reference Identifier,Reference identifier,C82531,,,No,No,Yes,No,1,Yes,IDENTIFIER,TEXT,
Events,term,Name of the Event,Verbatim name of the observed event,C82571,,,No,No,No,Yes,2,Yes,TOPIC,TEXT,
Events,decod,Decode,Dictionary-derived form of the event,C170991,,,No,No,Yes,No,3,No,SYNOQUAL,CTTERM,NCOMPLT; PROTMLST
Events,continuing,Continuing,Continuing,C53279,,,No,No,Yes,No,4,Yes,RECOQUAL,CTTERM,NY
Events,observation_start_datetime,Start Date and Time of Observation,Start date/time of the observation,C82517,,,No,No,Yes,No,5,Yes,TIMING,DATETIME,
Events,observation_end_datetime,End Date and Time of Observation,End date/time of the observation,C82516,,,No,No,Yes,No,6,Yes,TIMING,DATETIME,
Events,event_category,Event Category,Event category of related records.,C25372,,,No,No,Yes,No,7,No,GROUQUAL,CTTERM,DECAT; DSCAT; CECAT; HOCAT; MHCAT
Events,event_subcategory,Event Sub-Category,Event sub-Category of related records.,C25692,,,No,No,Yes,No,8,No,GROUQUAL,CTTERM,DSSCAT; MHSCAT
Events,prespecified,Event Prespecified,"An indication or description that something was previously determined, characterized, or detailed.",C82510,,,No,No,Yes,No,9,No,RECOQUAL,CTTERM,NY
Events,event_occurred,Event Occurred,Used when the occurrence of specific events is solicited to indicate whether or not a clinical event occurred.,C82438,,,No,No,Yes,No,10,Yes,RECOQUAL,CTTERM,NY
Events,completion_status,Completion Status,The completion status indicates that a question was not answered.,C41202,,,No,No,No,Yes,11,Yes,RECOQUAL,CTTERM,ND
Events,reason_not_done,Reason Not Done,Describes the reason data was not collected. Used in conjunction with completion_status  when value is NOT DONE.,C82556,,,No,No,Yes,No,12,Yes,RECOQUAL,TEXT,
Events,location,Location,Location,C25341,,,No,No,Yes,No,13,Yes,RECOQUAL,CTTERM,LOC
Events,laterality,Laterality,Laterality,C25185,,,No,No,Yes,No,14,Yes,RECOQUAL,CTTERM,LAT
Events,directionality,Directionality,Anatomical location further detailing directionality,C54215,,,No,No,Yes,No,15,Yes,RECOQUAL,CTTERM,DIR
Events,portion,Portion,"Anatomical location further detailing distribution. For e.g. ENTIRE, SINGLE, SEGMENT.",C103166,,,No,No,Yes,No,16,Yes,RECOQUAL,CTTERM,PORTOT
Events,severity,Severity,The severity or intensity of the event.,C25676,,,No,No,Yes,No,17,Yes,RECOQUAL,CTTERM,AESEV
Events,serious,Serious,Used to indicate whether the event was serious,C82578,,,No,No,Yes,No,18,Yes,RECOQUAL,CTTERM,NY
Events,action_taken,Action Taken,Action Taken with Study Treatment,,,,No,No,Yes,No,19,Yes,RECOQUAL,CTTERM,ACN
