library,catalogue,legacy_codelist_id,legacy_codelist_name,new_codelist_name,template_parameter,submission_value,codes_submission_value,preferred_term,definition,extensible,ordinal,synonyms,href
Sponsor,SDTM CT,REPEATING_VISIT_FREQUENCY,Repeating Visit Frequency,Repeating Visit Frequency,Y,REPEATING_VISIT_FREQUENCY,,Repeating Visit Frequency,Repeating frequency for repeating visits,Y,N,,
Sponsor,SDTM CT,TRL_TM_REF,Trial Time Reference,Time Point Reference,Y,TIMEREF,,Time Point Reference,"Time points that can act as a time reference, e.g. other time points will have their time reference to this time point.",Y,N,,
Sponsor,SDTM CT,VIS_TYPE,VisitType,VisitType,Y,TIMELB,,Time Point Label,"Label for a time point in the clinical study schedule, can be the same as the type of visit.",Y,N,,
Sponsor,SDTM CT,UNIT_DIMENSION,Unit Dimension,Unit Dimension,N,UNITDIM,,Unit Dimension,Unit Dimension act as a reference to a set of unit definitions where unit conversion is possible,Y,N,,
Sponsor,SDTM CT,,,Objective Level,N,OBJTLEVL,,Objective Level,Objective Level,Y,N,,
Sponsor,SDTM CT,,,Endpoint Level,N,ENDPLEVL,,Endpoint Level,Endpoint Level,Y,N,,
Sponsor,SDTM CT,NULL_FLAVOUR,Null Flavour,Null Flavor,N,NULLFLVR,,Null Flavor,"A null flavor is an ancillary piece of data that provides additional information when its primary piece of data is null (has a missing value). There is controlled terminology for the null flavor data item which includes such familiar values as Unknown, Other, and Not Applicable among its fourteen terms.",Y,N,Null Flavor,
Sponsor,SDTM CT,THERAPY_AREA,Therapy Area,Therapeutic area,Y,THERAREA,,Therapeutic area,"A knowledge field that focuses on research and development of specific treatments for diseases and pathologic findings, as well as prevention of conditions that negatively impact the health of an individual. (NCI)",Y,N,Therapy Area,
Sponsor,SDTM CT,TYPE_OF_TRT,Type of Treatment,Type of Treatment,Y,TPOFTRT,,Type of Treatment,Type of Treatment,Y,N,,
Sponsor,SDTM CT,GEN_EPOCH_TYPE,Generic Epoch Type,Epoch Type,N,EPOCHTP,,Type of Epoch,Type of Epoch,Y,N,,
Sponsor,SDTM CT,GEN_EPOCH_SUB_TYPE,Generic Epoch Subtype,Epoch Sub Type,N,EPOCHSTP,,Sub Type of Epoch,Sub Type of Epoch,Y,N,,
Sponsor,SDTM CT,,,Visit Sub Label,N,VISSUBLB,,Visit Sub Label,"Visits can span over a number of sub visits each with a specific sub visit label (e.g. Day 1, Day 2, etc.)",Y,N,,
Sponsor,SDTM CT,,,Criteria Type,N,CRITRTP,,Criteria Type,Type of criteria (e.g. Inclusion Criteria),Y,N,,
Sponsor,SDTM CT,,,Objective Category,N,OBJTCAT,,Objective Category,"Category of objectives (e.g. Efficacy, Safety, etc.)",Y,N,,
Sponsor,SDTM CT,,,Endpoint Category,N,ENDPCAT,,Endpoint Category,"Category of endpoints (e.g. Efficacy, Safety, etc.)",Y,N,,
Sponsor,SDTM CT,,,Endpoint Sub Category,N,ENDPSCAT,,Endpoint Sub Category,"Sub category of endpoints (e.g. Continuous, Categorical, Count, etc.)",Y,N,,
Sponsor,SDTM CT,,,Criteria Category,N,CRITCAT,,Criteria Category,"Categori for criteria (e.g. Demography, Diseases, Lifestyle, etc.)",Y,N,,
Sponsor,SDTM CT,,,Criteria Sub Category,N,CRITSCAT,,Criteria Sub Category,Sub categori for criteria,Y,N,,
Sponsor,SDTM CT,,,Operator,Y,OPERATOR,,Operator,Logical operators,Y,N,,
Sponsor,SDTM CT,UNIT_SUBSET,Unit Subset,Unit Subset,N,UNITSUBS,,Unit Subset,Unit Subset act as a grouping of unit definitions within a user scope. This can be across unit dimensions  and a unit definition can be part of multiple subsets.,Y,N,,
Sponsor,SDTM CT,,,Flowchart Group,N,FLWCRTGRP,,Flowchart Group,"Flowchart Group",Y,N,,
Sponsor,SDTM CT,,,Visit Contact Mode,N,VISCNTMD,,Visit Contact Mode,"Mode of contact for a visit (e.g. on site, virtual)",Y,N,,
Sponsor,SDTM CT,,,Arm Type,N,ARMTTP,,Arm Type,Type of Arm,Y,N,,
Sponsor,SDTM CT,GEN_ELEM_TYPE,Generic Element Type,Element Type,N,ELEMTP,,Element Type,Type of Element,Y,N,,
Sponsor,SDTM CT,GEN_ELEM_SUB_TYPE,Generic Element Sub Type,Element Sub Type,N,ELEMSTP,,Element Sub Type,Sub Type of Element,Y,N,,
Sponsor,SDTM CT,COMP_DISP_IN,Compound Dispensed In,Compound Dispensed In,N,COMPDISP,,Compound Dispensed In,Compound Dispensed In,Y,N,,
Sponsor,SDTM CT,DEVICE,Device,Delivery Device,N,DLVRDVC,,Delivery Device,Delivery Device,Y,N,,
Sponsor,SDTM CT,LANGUAGE,Language,Language,Y,LANGUAGE,,Language,Language on 3 digits based on the ISO639-3,Y,N,,
Sponsor,SDTM CT,DATATYPE,Data type,Data type,Y,DATATYPE,,Data type,Data type for ODM metadata,Y,N,,
Sponsor,SDTM CT,,,Endpoint Sub Level,N,ENDPSBLV,,Endpoint Sub Level,Endpoint Sub Level is a sub classification of Endpoint Level,Y,N,,
Sponsor,SDTM CT,TRT_ALLOC,Treatment Allocation,Epoch Allocation,N,EPCHALLC,,Epoch Allocation,Rule for allocation of study visit to study epochs,Y,N,,
Sponsor,SDTM CT,,,Study Milestone,N,STUDYMS,,Study Milestone,Main event in the study schedule where subjects change status or disposition group.,Y,N,,
Sponsor,SDTM CT,,,Data Collection Mode,Y,DATCOLMD,,Data Collection Mode,"Mode of data collection, e.g. eCOA, paper",Y,N,,
Sponsor,SDTM CT,,,Confirmatory Purpose,Y,CNFPURP,,Confirmatory Purpose,Confirmatory Purpose (e.g. to demonstrate or confirm),Y,N,,
Sponsor,SDTM CT,,,Non-confirmatory Purpose,Y,NCNFPURP,,Non-confirmatory Purpose,Non-confirmatory Purpose (e.g. to compare or investigate),Y,N,,
Sponsor,SDTM CT,,,Role,N,ROLE,,Role,Sponsor terminology for Role used between SDTM/SEND models and SDTM/SEND IG,Y,N,,
Sponsor,SDTM CT,,,Disease Milestone Type,N,MIDSTYPE,,Disease Milestone Type,"An event or activity that can be anticipated in the course of a disease, but whose timing is not controlled by the study schedule.",Y,N,,
Sponsor,SDTM CT,,,Registry Identifier,N,REGISTID,,Registry Identifier,"Number assigned by a clinical trial registry (for example, a registry that is part of the World Health Organization [WHO] Registry Network)",Y,N,,
Sponsor,SDTM CT,FIND_CAT_DEF,Finding Category Definition,Finding Category Definition,N,FINDCAT,,Finding Category Definition,Finding Category Definition,Y,N,,
Sponsor,SDTM CT,EVNT_CAT_DEF,Event Category Definition,Event Category Definition,N,EVNTCAT,,Event Category Definition,Event Category Definition,Y,N,,
Sponsor,SDTM CT,INTRV_CAT_DEF,Intervention Category Definition,Intervention Category Definition,N,INTVCAT,,Intervention Category Definition,Intervention Category Definition,Y,N,,
Sponsor,SDTM CT,FIND_SUB_CAT_DEF,Finding Subcategory Definition,Finding Subcategory Definition,N,FINDSCAT,,Finding Subcategory Definition,Finding Subcategory Definition,Y,N,,
Sponsor,SDTM CT,EVNT_SUB_CAT_DEF,Event Subcategory Definition,Event Subcategory Definition,N,EVNTSCAT,,Event Subcategory Definition,Event Subcategory Definition,Y,N,,
Sponsor,SDTM CT,INTRV_SUB_CAT_DEF,Intervention Subcategory Definition,Intervention Subcategory Definition,N,INTVSCAT,,Intervention Subcategory Definition,Intervention Subcategory Definition,Y,N,,
Sponsor,SDTM CT,,Footnote Type,Footnote Type,N,FTNTTP,,Footnote Type,Sponsor code list to manage type of footnote in the Schedule of Activity,Y,N,,
Sponsor,SDTM CT,,Category for Clinical Events,Category for Clinical Events,N,CECAT,,Category for Clinical Events,Controlled Terminology for Clinical Events Category,Y,N,,
Sponsor,SDTM CT,,Category for Healthcare Encounters,Category for Healthcare Encounters,N,HOCAT,,Category for Healthcare Encounters,"Controlled Terminology for Healthcare Encounters, e.g. Adverse Event Prolonged Hospitalisation",Y,N,,
Sponsor,SDTM CT,,Category for Medical History,Category for Medical History,N,MHCAT,,Category for Medical History,"Controlled Terminology for Medical History, e.g. General and Diabetes History",Y,N,,
Sponsor,SDTM CT,,Subcategory for Medical History,Subcategory for Medical History,N,MHSCAT,,Subcategory for Medical History,Controlled Terminology for Subcategory for Medical History,Y,N,,
Sponsor,SDTM CT,,Event Adjudication Test Name,Event Adjudication Test Name,N,ZATEST,ZATESTCD,Event Adjudication Test Name,Controlled Terminology for event adjudication test name,Y,N,,
Sponsor,SDTM CT,,Event Adjudication Test Code,Event Adjudication Test Code,N,ZATESTCD,,Event Adjudication Test Code,Controlled Terminology for event adjudication test code,Y,N,,
Sponsor,SDTM CT,,Pharmacokinetic Test Name,Pharmacokinetic Test Name,N,PCTEST,PCTESTCD,Pharmacokinetic Test Name,Controlled Terminology for Pharmacokinetic Test Name,Y,N,,
Sponsor,SDTM CT,,Pharmacokinetic Test Code,Pharmacokinetic Test Code,N,PCTESTCD,,Pharmacokinetic Test Code,Controlled Terminology for Pharmacokinetic Test Code,Y,N,,
Sponsor,SDTM CT,,Category for Reproductive System Finding,Category for Reproductive System Finding,N,RPCAT,,Category for Reproductive System Finding,Controlled Terminology for Category for Reproductive System Finding,Y,N,,
Sponsor,SDTM CT,,Category for ECG Test Results,Category for ECG Test Results,N,EGCAT,,Category for ECG Test Results,Controlled Terminology for Category for ECG Test Results,Y,N,,
Sponsor,SDTM CT,,Category for Ophthalmic Test or Exam,Category for Ophthalmic Test or Exam,N,OECAT,,Category for Ophthalmic Test or Exam,Controlled Terminology for Category for Ophthalmic Test or Exam,Y,N,,
Sponsor,SDTM CT,,Response list for hepatic event topic codes,Response list for hepatic event topic codes,,HEP_CQ,,Response list for hepatic event topic codes,Response list for hepatic event topic codes,Y,N,,
Sponsor,SDTM CT,,Name of Treatment - EC,Name of Treatment - EC,N,ECTRT,,Name of Treatment - EC,Controlled Terminology for Name of Treatment - EC,Y,N,,
