UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
%-point,PERCENTAGE,N,Y,N,N,N,%-point,N,N,1,0,,,A percentage point or percent point is the unit for the arithmetic difference of two percentages.,1,0,N,N,N,N,N,N,Y,Y,
score,SCORE,N,Y,Y,N,Y,Score,N,N,1,0,,,"score
",1830,0,N,N,N,N,N,N,Y,Y,
um2/sec,AREA PER TIME,Y,Y,Y,Y,N,um2/sec,N,N,1,0,,,Micrometer squared divided by second,1,,N,N,N,N,N,N,Y,Y,
mL/dL/min,BLOOD FLOW,Y,Y,Y,Y,N,,N,N,1,0,,,"milli-liter per deci-liter per minute
",21,mL/dL/min,N,N,N,N,N,N,Y,Y,
h*nmol/L,TIME TIMES CONCENTRATION,Y,Y,Y,Y,N,,Y,N,1,0,,,Hours times nanomoles per liter (area under the curve).,100,h.nmol/L,N,N,N,N,N,N,Y,Y,
h*IU/mL,TIME TIMES CONCENTRATION,N,Y,N,N,N,,N,N,1,0,,,A dose calculation unit equal to one international unit (an arbitrary unit of biological activity) of a product multiplied with hour per unit of time equal to one mL,100,h.u[IU]/mL,N,N,N,N,N,N,Y,Y,
v/v,PERCENTAGE,Y,Y,N,N,N,,N,N,100,VOLUME FRACTION,,C67469,Quotient of the volume of a substance and the total volume of the sample containing the substance.,1,,N,N,N,N,N,N,Y,Y,
MJ,ENERGY,Y,Y,N,Y,N,,N,N,1000000,0,,,"CDISC not found
MJ
J=Joule, where Joule is defined as m2&#8729;kg&#8729;s^(&#8722;2)
M=10^6",52,MJ,N,N,N,N,N,N,Y,Y,
mg/dL/U,CONCENTRATION PER UNIT,Y,Y,N,N,Y,,N,N,10,0,,,CDISC: Sponsor defined value,37,mg/dL/U,N,N,N,N,N,N,Y,Y,
mg/dL^2,CONCENTRATION,N,Y,N,N,Y,,N,N,1,0,,,"CDISC not found: Sponser defined.
Unit mg/dL have CDISC code: C67015",35,mg/dL2,N,N,N,N,N,N,Y,Y,
U/h,DOSE UNIT PER TIME,Y,Y,N,N,N,,N,N,168,0,,,"U/h - Insulin pump delivery rate
CDISC not found

[dose subset]",40,U/h,N,N,Y,N,N,N,Y,Y,
h*kg/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1E+12,0,,,Hours times kilograms per liter (area under the curve),100,h.kg/L,N,N,N,N,N,N,Y,Y,
mU/KG,RELATIVE DOSE UNIT,Y,Y,N,N,N,,N,N,1,0,,,"mU/kg, milli Units per Kilogram to be used for derived topic codes on dosing",1720,,N,N,N,N,N,N,Y,Y,
% B/T,PERCENTAGE,Y,Y,N,N,N,% B/T,N,N,1,0,,,Bound radioactive tracer (percent of total amount of added tracer),1520,%,N,N,N,N,N,N,Y,Y,
(pmol*h/L)/(U/kg),CONCENTRATION PER TIME PER DOSE,N,Y,N,N,N,(pmol*h/L)/(U/kg),N,N,1,0,,,Concentration in pmol per hour per liter divided by dose in U per kg,1,(pmol.h/L)/(U/kg),N,N,N,N,N,N,Y,Y,
COUNT,COUNT,N,Y,Y,N,N,Count,N,N,1,0,,,"Unit for a counting variable, e.g. number of Aes or Hypos of a special kind
",39,0,N,N,N,N,N,N,Y,Y,
kJ,ENERGY,Y,Y,N,Y,N,kJ,N,N,1000,0,,,"CDISC not found
A SI unit of energy equal to 10E3 joules. (NCI)
A derived unit defined as the work done or energy required to exert a force of one newton for a distance of one meter. 1 KJ = 2.390 X 10-4 Kilocalorie. (CRCH)",52,kJ,N,N,N,N,N,N,Y,Y,
mmHg*BPM,PRESSURE,N,Y,N,N,N,,N,N,1,0,,,"Unit for measuring Rate Pressure Product. Blood pressure in mmHg, heart rate or pulse in Beat per Minute.",1550,mm[Hg].{beats}/min,N,N,N,N,N,N,Y,Y,
pmol*min/kg,CONCENTRATION PER TIME,N,Y,N,Y,N,,Y,N,1,0,,,"Picomoles per kilogram (area under the curve).
",36,pmol.min/kg,N,N,N,N,N,N,Y,Y,
h*pg/mL,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1,0,,,h*pg/mL,100,h.pg/mL,N,N,N,N,N,N,Y,Y,
pmol/min,MASS FLOW RATE,Y,Y,N,Y,N,,Y,N,0.000000001,0,,,"pmol/min

This Unit should have is own Unit Dimension: substance flow rate, with Master: mol/day

[dose subset]",120,pmol/min,N,N,Y,N,N,N,Y,Y,
pmol/kg/min,DOSE RATE,N,Y,N,Y,N,,N,N,1,0,,,"CDISC not found: sponsor defined.
picomole/kilogram/minute

[dose subset]",40,pmol/kg/min,N,N,Y,N,N,N,Y,Y,
h*pmol/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,Y,N,1,0,,,h*pmol/L,100,h.pmol/L,N,N,N,N,N,N,Y,Y,
DOSE STEP,DOSE UNIT,N,Y,N,N,N,DOSE STEP,N,N,1,0,,,"A one step increase in dose based on steps, clicks or increments of a combination product with two different units in a fixed ratio.
 
[dose subset]",1,,N,N,Y,N,N,N,Y,Y,
